Tom Lasseter-South Lamar Neighborhood Park,"3000 Del Curto Rd., Austin, Texas 78704",Central South,Joe Diaz,2.09
Trailhead Neighborhood Park,"10984 Boulder Ln., Austin, Texas 78726",Northwest,Alberto Perez,13.64
Treaty Oak Square,"507 Baylor St., Austin, Texas 78703",Central South,Joe Diaz,0.31
Triangle Commons Neighborhood Park,"722 W 46th St., Austin, Texas 78751",Northeast,Jimmy Cone,6.02
Umlauf Sculpture Garden,"605 Robert E Lee Rd., Austin, Texas 78704",Central South,Joe Diaz,5.74
Upper Bull Creek Greenbelt,"6958 Spicewood Springs Rd., Austin, Texas 78750",Northwest,Alberto Perez,190.41
Veterans Pocket Park,"2200 Veterans Dr., Austin, Texas 78703",Northwest,Alberto Perez,0.67
Vic Mathias Shores at Town Lake Metro Park,"700 W Riverside Dr., Austin, Texas 78704",Central South,Joe Diaz,5.76
Waller Beach at Town Lake Metropolitan Park,"30 East Ave., Austin, Texas 78701",Central South,Joe Diaz,28.39
Waller Creek Greenbelt,"703 E 6th St., Austin, Texas 78701",Central South,Joe Diaz,4.06
Walnut Creek Greenbelt,"2611 Park Bend Rd., Austin, Texas 78758",NE/NW,Jimmy Cone/Alberto Perez,975.18
Walnut Creek Sports Park**,"7800 Johnny Morris Rd., Austin, Texas 78724",Northeast,Jimmy Cone,227.96
Walsh Boat Landing,"1600 Scenic Dr., Austin, Texas 78703",Northwest,Alberto Perez,3.92
Walter E. Long Metropolitan Park**,"6620 Blue Bluff Rd., Austin, Texas 78724",Northeast,Jimmy Cone,1872.33
Waterloo Neighborhood Park,"500 E 12th St., Austin, Texas 78701",Central South,Joe Diaz,10
Wells Creek Greenbelt,"13120 Metric Blvd., Austin, Texas 78727",Northwest,Alberto Perez,9.24
West Austin Neighborhood Park,"1317 W 10th St., Austin, Texas 78703",Central South,Joe Diaz,3.32
West Bouldin Creek Greenbelt,"1200 S 6th St., Austin, Texas 78704",Central South,Joe Diaz,16.87
Westcreek Pocket Park,"6044 Westcreek Dr., Austin, Texas 78749",Central South,Joe Diaz,1.29
Westenfield Neighborhood Park,"2008 Enfield Rd., Austin, Texas 78703",Northwest,Alberto Perez,4.94
Williams School Park,"605 Blue Valley Dr., Austin, Texas 78748",Central South,Joe Diaz,3.36
Williamson Creek Central Greenbelt,"5120 S 1st St., Austin, Texas 78745",Central South,Joe Diaz,81.91
Williamson Creek East Greenbelt,"4618 E William Cannon Dr., Austin, Texas 78744",Central South,Joe Diaz,102.04
Williamson Creek West Greenbelt,"6310 Brush Country Rd., Austin, Texas 78749",Cenral South,Joe Diaz,76.26
Wooldridge School Park,"1410 Norseman Ter., Austin, Texas 78758",Northwest,Alberto Perez,9.07
Wooldridge Square,"900 Guadalupe St., Austin, Texas 78701",Central South,Joe Diaz,1.73
Wooten Neighborhood Park,"1500 Dale Dr., Austin, Texas 78757",Northwest,Alberto Perez,6.58
Wunneburger Park,"11901 Old San Antonio Rd., Austin, Texas 78652",Central South,Joe Diaz,23.08
Yates Pocket Park,"6015 Felix Ave., Austin, Texas 78741",Northeast,Jimmy Cone,0.93
Yett Creek Neighborhood Park,"12538 Riata Vista Cir., Austin, Texas 78727",Northwest,Alberto Perez,40.52
Zilker Nature Preserve,"301 Nature Center Dr., Austin, Texas 78746",Central South,Joe Diaz,77.39
